FID,    NpFeat,      NpMap,  M/F,   Angle,    Trans,    Tx,      Ty,    Tz,      qx,     qy,     qz,     qw  
210, 0000949474, 0032290685, 34.0, +62.94952, +2.06628, -2.065, +0.008, -0.075, +0.142, -0.220, -0.452, +0.853
211, 0000953408, 0032431460, 34.0, +63.93845, +2.04962, -2.048, +0.023, -0.069, +0.135, -0.224, -0.460, +0.848
212, 0000957137, 0032565300, 34.0, +63.95279, +2.04499, -2.044, +0.025, -0.064, +0.132, -0.236, -0.455, +0.848
213, 0000960585, 0032690195, 34.0, +65.53519, +2.04595, -2.045, +0.024, -0.064, +0.126, -0.249, -0.464, +0.841
214, 0000963766, 0032806280, 34.0, +67.87426, +2.06364, -2.061, +0.058, -0.084, +0.117, -0.264, -0.478, +0.830
215, 0000966693, 0032914000, 34.0, +70.10101, +2.08345, -2.079, +0.085, -0.101, +0.112, -0.282, -0.488, +0.819
216, 0000969520, 0033018225, 34.1, +70.95295, +2.09485, -2.089, +0.101, -0.111, +0.108, -0.291, -0.490, +0.814
217, 0000972224, 0033117440, 34.1, +71.83365, +2.10050, -2.094, +0.114, -0.112, +0.105, -0.298, -0.495, +0.810
218, 0000974821, 0033212280, 34.1, +72.83289, +2.10481, -2.097, +0.118, -0.131, +0.108, -0.306, -0.497, +0.805
219, 0000977350, 0033305150, 34.1, +73.12095, +2.11320, -2.106, +0.121, -0.125, +0.104, -0.316, -0.494, +0.803
220, 0000979823, 0033397065, 34.1, +74.40778, +2.13165, -2.121, +0.150, -0.151, +0.101, -0.324, -0.500, +0.796
221, 0000982273, 0033485730, 34.1, +74.42324, +2.13425, -2.123, +0.155, -0.154, +0.098, -0.325, -0.500, +0.796
222, 0000984724, 0033574800, 34.1, +75.07007, +2.14022, -2.127, +0.173, -0.165, +0.097, -0.334, -0.500, +0.793
223, 0000987167, 0033664620, 34.1, +74.80135, +2.15261, -2.138, +0.185, -0.170, +0.090, -0.338, -0.496, +0.794
224, 0000989453, 0033751075, 34.1, +74.70891, +2.16419, -2.148, +0.186, -0.192, +0.090, -0.346, -0.490, +0.795
225, 0000991664, 0033833680, 34.1, +75.35422, +2.15549, -2.136, +0.203, -0.201, +0.080, -0.350, -0.495, +0.791
226, 0000993858, 0033914105, 34.1, +75.13979, +2.15863, -2.136, +0.224, -0.214, +0.074, -0.356, -0.489, +0.793
227, 0000995908, 0033991535, 34.1, +74.93819, +2.14282, -2.119, +0.229, -0.223, +0.070, -0.354, -0.489, +0.794
228, 0000998108, 0034072670, 34.1, +74.79118, +2.12940, -2.103, +0.248, -0.228, +0.069, -0.354, -0.489, +0.794
229, 0001000302, 0034154550, 34.1, +75.52774, +2.12695, -2.100, +0.253, -0.227, +0.070, -0.357, -0.492, +0.791
230, 0001002598, 0034238025, 34.1, +75.61311, +2.12921, -2.099, +0.262, -0.239, +0.073, -0.357, -0.493, +0.790
231, 0001004878, 0034321165, 34.2, +75.41488, +2.14362, -2.113, +0.268, -0.246, +0.074, -0.359, -0.490, +0.791
232, 0001007084, 0034401910, 34.2, +74.91336, +2.13425, -2.101, +0.280, -0.248, +0.070, -0.355, -0.489, +0.794
233, 0001009339, 0034484575, 34.2, +75.08274, +2.13239, -2.097, +0.292, -0.252, +0.070, -0.357, -0.489, +0.793
234, 0001011645, 0034567145, 34.2, +75.10430, +2.11645, -2.079, +0.306, -0.248, +0.070, -0.355, -0.491, +0.793
235, 0001013890, 0034648505, 34.2, +75.11748, +2.11963, -2.081, +0.315, -0.252, +0.069, -0.356, -0.490, +0.793
236, 0001016212, 0034732285, 34.2, +75.75401, +2.12635, -2.082, +0.338, -0.271, +0.069, -0.363, -0.491, +0.789
237, 0001018591, 0034816690, 34.2, +73.63211, +2.10933, -2.069, +0.322, -0.258, +0.070, -0.358, -0.476, +0.801
238, 0001020906, 0034898065, 34.2, +73.11047, +2.09343, -2.053, +0.316, -0.257, +0.073, -0.356, -0.472, +0.803
239, 0001023229, 0034980830, 34.2, +72.51564, +2.09566, -2.056, +0.307, -0.269, +0.071, -0.361, -0.463, +0.806
240, 0001025343, 0035056670, 34.2, +72.51086, +2.08919, -2.046, +0.316, -0.282, +0.064, -0.363, -0.462, +0.806
241, 0001027414, 0035130670, 34.2, +73.06812, +2.08243, -2.035, +0.338, -0.283, +0.062, -0.363, -0.468, +0.804
242, 0001029466, 0035204460, 34.2, +72.95569, +2.08287, -2.036, +0.325, -0.295, +0.065, -0.368, -0.462, +0.804
243, 0001031429, 0035275470, 34.2, +74.25414, +2.07873, -2.027, +0.349, -0.298, +0.053, -0.368, -0.475, +0.797
244, 0001033403, 0035346695, 34.2, +73.16664, +2.07650, -2.031, +0.324, -0.287, +0.061, -0.368, -0.465, +0.803
245, 0001035434, 0035419050, 34.2, +72.83826, +2.06596, -2.021, +0.329, -0.278, +0.058, -0.369, -0.462, +0.805
246, 0001037475, 0035492155, 34.2, +73.30278, +2.06493, -2.016, +0.340, -0.287, +0.056, -0.379, -0.458, +0.802
247, 0001039522, 0035565960, 34.2, +72.98224, +2.05420, -2.013, +0.299, -0.278, +0.060, -0.382, -0.452, +0.804
248, 0001041515, 0035638365, 34.2, +73.79977, +2.03086, -1.988, +0.315, -0.270, +0.058, -0.381, -0.460, +0.800
249, 0001043461, 0035709730, 34.2, +74.96764, +2.03921, -1.998, +0.306, -0.273, +0.058, -0.387, -0.466, +0.794
250, 0001045358, 0035778990, 34.2, +74.55457, +2.03688, -1.999, +0.290, -0.263, +0.053, -0.383, -0.466, +0.796
251, 0001047269, 0035848695, 34.2, +74.49032, +2.02617, -1.993, +0.274, -0.245, +0.053, -0.379, -0.469, +0.796
252, 0001049126, 0035917315, 34.2, +74.93349, +2.00761, -1.975, +0.264, -0.246, +0.051, -0.377, -0.474, +0.794
253, 0001050977, 0035984410, 34.2, +76.76658, +2.01838, -1.988, +0.238, -0.254, +0.057, -0.385, -0.484, +0.784
254, 0001052761, 0036050210, 34.2, +77.21508, +2.01652, -1.990, +0.216, -0.248, +0.060, -0.385, -0.487, +0.781
255, 0001054352, 0036110905, 34.2, +78.93003, +2.00674, -1.979, +0.224, -0.248, +0.049, -0.389, -0.500, +0.772
256, 0001055923, 0036171395, 34.3, +79.53705, +2.00614, -1.984, +0.178, -0.241, +0.054, -0.380, -0.511, +0.769
257, 0001057459, 0036231295, 34.3, +78.19708, +2.03279, -2.014, +0.139, -0.240, +0.054, -0.390, -0.493, +0.776
258, 0001058934, 0036290445, 34.3, +80.51703, +1.99587, -1.974, +0.181, -0.236, +0.030, -0.393, -0.512, +0.763
259, 0001060347, 0036346860, 34.3, +80.10898, +1.99039, -1.973, +0.133, -0.223, +0.025, -0.389, -0.512, +0.765
260, 0001061682, 0036400135, 34.3, +80.16990, +1.98674, -1.970, +0.128, -0.220, +0.021, -0.382, -0.518, +0.765
261, 0001062956, 0036452090, 34.3, +85.21722, +2.00897, -1.991, +0.136, -0.227, +0.023, -0.382, -0.558, +0.736
262, 0001064176, 0036502185, 34.3, +88.53678, +2.02262, -1.997, +0.199, -0.254, +0.008, -0.396, -0.575, +0.716
263, 0001065353, 0036550995, 34.3, +87.78504, +2.04035, -2.018, +0.161, -0.255, +0.012, -0.394, -0.570, +0.721
264, 0001066525, 0036600000, 34.3, +86.09167, +2.02890, -2.009, +0.141, -0.243, +0.004, -0.387, -0.562, +0.731
265, 0001067680, 0036647815, 34.3, +88.18902, +2.02552, -2.006, +0.155, -0.231, -0.005, -0.385, -0.580, +0.718
266, 0001068825, 0036695245, 34.3, +87.57983, +2.05146, -2.032, +0.116, -0.258, +0.008, -0.392, -0.570, +0.722
267, 0001069971, 0036742205, 34.3, +88.44846, +2.06113, -2.039, +0.110, -0.281, +0.004, -0.390, -0.578, +0.717
268, 0001071071, 0036787315, 34.3, +85.75477, +2.09778, -2.076, +0.058, -0.299, +0.022, -0.408, -0.544, +0.733
269, 0001072122, 0036831845, 34.4, +74.67867, +2.00829, -1.996, -0.012, -0.226, -0.002, -0.366, -0.484, +0.795
270, 0001073119, 0036874210, 34.4, +64.20240, +1.89173, -1.885, -0.048, -0.149, -0.027, -0.272, -0.456, +0.847
271, 0001074078, 0036915160, 34.4, +56.97186, +1.85750, -1.849, -0.132, -0.117, -0.030, -0.252, -0.404, +0.879
272, 0001075029, 0036954885, 34.4, +57.54854, +1.86189, -1.853, -0.147, -0.114, -0.033, -0.241, -0.415, +0.877
273, 0001075948, 0036993605, 34.4, +52.43522, +1.86614, -1.855, -0.167, -0.123, -0.043, -0.238, -0.370, +0.897
274, 0001076848, 0037030945, 34.4, +55.65465, +1.74238, -1.732, -0.139, -0.135, -0.052, -0.253, -0.389, +0.884
275, 0001077761, 0037068125, 34.4, +54.73513, +1.70074, -1.687, -0.149, -0.151, -0.041, -0.231, -0.396, +0.888
276, 0001078660, 0037105000, 34.4, +31.72961, +1.52709, -1.509, -0.228, -0.049, -0.087, -0.134, -0.222, +0.962
277, 0001079550, 0037142100, 34.4, +30.73837, +1.52007, -1.504, -0.218, -0.044, -0.089, -0.131, -0.212, +0.964
278, 0001080478, 0037179755, 34.4, +26.26906, +1.45969, -1.447, -0.176, -0.078, -0.106, -0.122, -0.160, +0.974
279, 0001081441, 0037219220, 34.4, +27.68538, +1.37115, -1.342, -0.280, -0.022, -0.077, -0.115, -0.195, +0.971
280, 0001082465, 0037260810, 34.4, +27.95616, +1.40507, -1.366, -0.331, -0.015, -0.062, -0.113, -0.204, +0.970
281, 0001083511, 0037303890, 34.4, +24.04798, +1.37170, -1.333, -0.323, -0.008, -0.066, -0.101, -0.170, +0.978
282, 0001084608, 0037348665, 34.4, +26.71789, +1.39419, -1.364, -0.287, +0.003, -0.083, -0.108, -0.186, +0.973
283, 0001085743, 0037394865, 34.4, +16.50281, +1.31736, -1.288, -0.278, +0.004, -0.097, -0.052, -0.092, +0.990
284, 0001086874, 0037441500, 34.4, +13.24931, +1.29057, -1.261, -0.277, +0.002, -0.096, -0.030, -0.056, +0.993
285, 0001088000, 0037488865, 34.5, +16.01925, +1.28418, -1.254, -0.275, +0.012, -0.108, -0.040, -0.078, +0.990
286, 0001089177, 0037536365, 34.5, +17.72388, +1.27320, -1.240, -0.287, +0.012, -0.103, -0.042, -0.106, +0.988
287, 0001090373, 0037584720, 34.5, +19.34484, +1.32015, -1.271, -0.351, +0.059, -0.103, -0.044, -0.125, +0.986
288, 0001091586, 0037635010, 34.5, +17.01732, +1.29924, -1.243, -0.371, +0.072, -0.092, -0.030, -0.112, +0.989
289, 0001092851, 0037687110, 34.5, +14.34661, +1.30795, -1.253, -0.363, +0.093, -0.083, -0.032, -0.088, +0.992
290, 0001094174, 0037742010, 34.5, +12.20604, +1.29556, -1.216, -0.433, +0.113, -0.061, -0.026, -0.083, +0.994
291, 0001095549, 0037798155, 34.5, +17.12275, +1.29203, -1.201, -0.450, +0.153, -0.071, -0.039, -0.125, +0.989
292, 0001096957, 0037856285, 34.5, +11.68923, +1.29756, -1.195, -0.481, +0.157, -0.046, -0.033, -0.084, +0.995
293, 0001098386, 0037915400, 34.5, +12.04449, +1.22984, -1.152, -0.393, +0.175, -0.086, -0.014, -0.058, +0.994
294, 0001099838, 0037975520, 34.5, +11.38162, +1.18849, -1.101, -0.403, +0.194, -0.092, +0.008, -0.036, +0.995
295, 0001101326, 0038035955, 34.5, +15.29855, +1.31658, -1.196, -0.485, +0.259, -0.082, -0.034, -0.099, +0.991
296, 0001102805, 0038097220, 34.5, +17.52521, +1.31420, -1.211, -0.443, +0.252, -0.081, -0.049, -0.119, +0.988
297, 0001104312, 0038158470, 34.6, +15.30174, +1.33901, -1.224, -0.473, +0.265, -0.070, -0.049, -0.102, +0.991
298, 0001105786, 0038219655, 34.6, +14.38787, +1.36261, -1.236, -0.510, +0.260, -0.049, -0.050, -0.104, +0.992
299, 0001107328, 0038283310, 34.6, +12.15858, +1.35741, -1.207, -0.561, +0.267, -0.035, -0.040, -0.092, +0.994
300, 0001108871, 0038347480, 34.6, +12.54667, +1.37365, -1.211, -0.586, +0.277, -0.021, -0.047, -0.096, +0.994
301, 0001110388, 0038410865, 34.6, +12.40391, +1.38427, -1.208, -0.618, +0.274, -0.005, -0.045, -0.098, +0.994
302, 0001111903, 0038474035, 34.6, +17.95382, +1.34622, -1.196, -0.543, +0.295, -0.050, -0.043, -0.141, +0.988
303, 0001113418, 0038535895, 34.6, +18.65016, +1.36329, -1.212, -0.556, +0.284, -0.041, -0.048, -0.149, +0.987
304, 0001114905, 0038597165, 34.6, +16.50702, +1.24965, -1.120, -0.502, +0.237, -0.041, -0.024, -0.135, +0.990
305, 0001116399, 0038659520, 34.6, +17.93420, +1.26738, -1.137, -0.511, +0.229, -0.022, -0.045, -0.148, +0.988
306, 0001117902, 0038721860, 34.6, +16.79929, +1.25588, -1.111, -0.541, +0.222, -0.009, -0.034, -0.142, +0.989
307, 0001119412, 0038784355, 34.6, +17.27306, +1.28560, -1.141, -0.544, +0.235, -0.005, -0.039, -0.145, +0.989
308, 0001120947, 0038849480, 34.7, +13.90739, +1.20261, -1.061, -0.511, +0.245, -0.013, -0.014, -0.120, +0.993
309, 0001122588, 0038916365, 34.7, +12.76625, +1.19841, -1.058, -0.500, +0.256, -0.013, -0.018, -0.109, +0.994
310, 0001124247, 0038984565, 34.7, +10.26399, +1.13369, -0.968, -0.521, +0.274, -0.010, +0.008, -0.088, +0.996
311, 0001125996, 0039056410, 34.7, +7.70976, +1.09573, -0.907, -0.550, +0.277, +0.006, +0.023, -0.063, +0.998
312, 0001127920, 0039133055, 34.7, +10.46490, +0.89053, -0.696, -0.508, +0.223, +0.021, +0.086, -0.020, +0.996
313, 0001129930, 0039213465, 34.7, +10.82715, +0.86960, -0.675, -0.504, +0.216, +0.025, +0.088, -0.024, +0.996
314, 0001132055, 0039298045, 34.7, +9.21529, +0.99017, -0.779, -0.538, +0.289, +0.025, +0.052, -0.055, +0.997
315, 0001134388, 0039389025, 34.7, +9.25389, +1.04925, -0.808, -0.599, +0.300, +0.055, +0.026, -0.053, +0.997
316, 0001136878, 0039484730, 34.7, +9.28032, +1.02716, -0.764, -0.615, +0.304, +0.064, +0.033, -0.036, +0.997
317, 0001139495, 0039586340, 34.7, +9.56267, +1.03992, -0.757, -0.636, +0.321, +0.073, +0.033, -0.023, +0.997
318, 0001142269, 0039692100, 34.7, +9.94004, +1.02926, -0.728, -0.641, +0.345, +0.080, +0.033, -0.007, +0.996
319, 0001145248, 0039803855, 34.8, +10.05938, +1.01595, -0.702, -0.634, +0.371, +0.077, +0.043, -0.000, +0.996
320, 0001148389, 0039922135, 34.8, +10.13636, +1.01400, -0.703, -0.623, +0.381, +0.080, +0.037, +0.011, +0.996
321, 0001151816, 0040048815, 34.8, +10.39165, +1.35414, -0.949, -0.798, +0.544, +0.084, -0.002, -0.034, +0.996
322, 0001155485, 0040182650, 34.8, +10.87949, +1.35504, -0.948, -0.797, +0.550, +0.091, -0.007, -0.024, +0.995
323, 0001159216, 0040319095, 34.8, +10.95343, +1.37032, -0.977, -0.773, +0.571, +0.091, -0.012, -0.027, +0.995
324, 0001163266, 0040464795, 34.8, +11.52263, +1.38365, -0.999, -0.752, +0.593, +0.094, -0.011, -0.032, +0.995
325, 0001167685, 0040621420, 34.8, +14.34956, +1.40994, -1.006, -0.789, +0.595, +0.122, -0.009, -0.024, +0.992
326, 0001172479, 0040788550, 34.8, +14.59178, +1.38698, -0.973, -0.786, +0.600, +0.126, +0.011, -0.011, +0.992
327, 0001177798, 0040965985, 34.8, +15.04104, +1.38969, -0.963, -0.794, +0.612, +0.128, +0.026, -0.007, +0.991
328, 0001183211, 0041146725, 34.8, +15.29943, +1.35510, -0.924, -0.773, +0.621, +0.124, +0.047, -0.003, +0.991
329, 0001188968, 0041335315, 34.8, +16.39893, +1.36586, -0.918, -0.795, +0.625, +0.132, +0.053, +0.002, +0.990
330, 0001194966, 0041526270, 34.8, +16.86220, +1.36088, -0.905, -0.790, +0.640, +0.134, +0.059, +0.008, +0.989
331, 0001201066, 0041718840, 34.7, +16.94018, +1.35319, -0.889, -0.780, +0.657, +0.133, +0.062, +0.013, +0.989
332, 0001207448, 0041921395, 34.7, +16.65179, +1.36353, -0.890, -0.775, +0.684, +0.130, +0.063, +0.012, +0.989
333, 0001214189, 0042131555, 34.7, +16.74533, +1.34260, -0.858, -0.755, +0.704, +0.128, +0.068, +0.016, +0.989
334, 0001221250, 0042347750, 34.7, +16.77571, +1.33056, -0.844, -0.736, +0.719, +0.126, +0.069, +0.024, +0.989
335, 0001228465, 0042568600, 34.7, +16.84729, +1.32906, -0.834, -0.729, +0.734, +0.125, +0.068, +0.035, +0.989
336, 0001236686, 0042814665, 34.6, +16.25346, +1.31669, -0.831, -0.676, +0.765, +0.119, +0.065, +0.039, +0.990
337, 0001245644, 0043080240, 34.6, +16.60431, +1.31447, -0.836, -0.637, +0.790, +0.127, +0.049, +0.048, +0.990
338, 0001255202, 0043362355, 34.5, +18.59554, +1.32527, -0.831, -0.653, +0.800, +0.146, +0.033, +0.060, +0.987
339, 0001265275, 0043664280, 34.5, +21.30381, +1.30981, -0.807, -0.657, +0.795, +0.167, +0.025, +0.074, +0.983
340, 0001276189, 0043981775, 34.5, +22.72233, +1.29322, -0.788, -0.605, +0.828, +0.177, +0.026, +0.082, +0.980
341, 0001287335, 0044298985, 34.4, +25.61303, +1.29129, -0.784, -0.616, +0.821, +0.195, +0.024, +0.103, +0.975
342, 0001298548, 0044621085, 34.4, +27.49228, +1.29011, -0.775, -0.605, +0.835, +0.203, +0.032, +0.119, +0.971
343, 0001310199, 0044953835, 34.3, +29.71990, +1.28561, -0.770, -0.603, +0.835, +0.213, +0.043, +0.135, +0.967
344, 0001322168, 0045290645, 34.3, +30.89314, +1.26821, -0.763, -0.576, +0.833, +0.213, +0.058, +0.148, +0.964
345, 0001334001, 0045625650, 34.2, +33.06830, +1.24854, -0.747, -0.571, +0.821, +0.213, +0.074, +0.173, +0.959
346, 0001345715, 0045955675, 34.1, +34.79304, +1.22802, -0.745, -0.545, +0.810, +0.211, +0.083, +0.195, +0.954
347, 0001357229, 0046278720, 34.1, +36.10303, +1.20163, -0.726, -0.514, +0.807, +0.211, +0.090, +0.208, +0.951
348, 0001368791, 0046600340, 34.0, +38.27787, +1.18341, -0.707, -0.504, +0.804, +0.218, +0.094, +0.226, +0.945
349, 0001380236, 0046919630, 34.0, +40.22912, +1.18809, -0.722, -0.509, +0.794, +0.226, +0.089, +0.244, +0.939
350, 0001391591, 0047237965, 33.9, +41.75949, +1.18248, -0.733, -0.499, +0.782, +0.229, +0.092, +0.258, +0.934
351, 0001402283, 0047545220, 33.9, +43.49516, +1.16128, -0.732, -0.519, +0.737, +0.228, +0.100, +0.274, +0.929
352, 0001412443, 0047841575, 33.9, +44.46888, +1.13459, -0.719, -0.516, +0.711, +0.211, +0.110, +0.295, +0.926
353, 0001421799, 0048122030, 33.8, +44.88834, +1.10315, -0.706, -0.499, +0.686, +0.192, +0.120, +0.308, +0.924
354, 0001430656, 0048392205, 33.8, +45.42984, +1.07977, -0.695, -0.489, +0.666, +0.178, +0.127, +0.318, +0.922
355, 0001438866, 0048646460, 33.8, +45.80732, +1.04987, -0.674, -0.482, +0.645, +0.164, +0.137, +0.326, +0.921
356, 0001446464, 0048883745, 33.8, +45.59740, +1.03653, -0.666, -0.490, +0.626, +0.152, +0.143, +0.327, +0.922
357, 0001453835, 0049111380, 33.8, +45.71177, +1.01914, -0.649, -0.514, +0.595, +0.151, +0.150, +0.325, +0.921
358, 0001460738, 0049327235, 33.8, +44.82375, +0.99454, -0.631, -0.505, +0.579, +0.137, +0.167, +0.315, +0.924
359, 0001467481, 0049536100, 33.8, +44.33725, +0.97893, -0.618, -0.505, +0.567, +0.127, +0.184, +0.304, +0.926
360, 0001474169, 0049741140, 33.7, +44.32286, +0.95758, -0.597, -0.517, +0.542, +0.125, +0.203, +0.293, +0.926
361, 0001480917, 0049946090, 33.7, +44.86815, +0.93670, -0.584, -0.508, +0.527, +0.121, +0.220, +0.287, +0.924
362, 0001487798, 0050000000, 33.6, +44.20503, +0.92816, -0.574, -0.510, +0.521, +0.118, +0.230, +0.274, +0.927
363, 0001494548, 0050000000, 33.5, +44.49499, +0.89170, -0.538, -0.501, +0.504, +0.109, +0.246, +0.266, +0.926
364, 0001501068, 0050000000, 33.3, +44.93077, +0.86612, -0.517, -0.493, +0.490, +0.103, +0.256, +0.264, +0.924
365, 0001507905, 0050000000, 33.2, +45.75883, +0.85082, -0.490, -0.501, +0.483, +0.110, +0.268, +0.260, +0.921
366, 0001514972, 0050000000, 33.0, +45.40913, +0.84070, -0.474, -0.503, +0.479, +0.110, +0.274, +0.249, +0.923
367, 0001522135, 0050000000, 32.8, +46.11312, +0.81280, -0.446, -0.503, +0.457, +0.116, +0.285, +0.243, +0.920
368, 0001529565, 0050000000, 32.7, +46.37521, +0.79236, -0.415, -0.503, +0.450, +0.112, +0.299, +0.230, +0.919
369, 0001537441, 0050000000, 32.5, +46.95523, +0.77546, -0.393, -0.504, +0.440, +0.116, +0.307, +0.225, +0.917
370, 0001545549, 0050000000, 32.4, +47.33360, +0.76322, -0.365, -0.519, +0.424, +0.124, +0.315, +0.215, +0.916
371, 0001553898, 0050000000, 32.2, +47.81499, +0.73976, -0.329, -0.519, +0.412, +0.126, +0.327, +0.204, +0.914
372, 0001562344, 0050000000, 32.0, +47.86081, +0.72900, -0.309, -0.516, +0.412, +0.128, +0.329, +0.201, +0.914
373, 0001571114, 0050000000, 31.8, +48.15052, +0.71080, -0.283, -0.513, +0.403, +0.131, +0.335, +0.191, +0.913
374, 0001580074, 0050000000, 31.6, +48.95665, +0.69153, -0.249, -0.522, +0.380, +0.142, +0.341, +0.188, +0.910
375, 0001588658, 0050000000, 31.5, +48.86209, +0.66734, -0.219, -0.518, +0.359, +0.142, +0.343, +0.182, +0.910
376, 0001597188, 0050000000, 31.3, +48.28380, +0.65894, -0.193, -0.521, +0.354, +0.144, +0.340, +0.175, +0.913
377, 0001605761, 0050000000, 31.1, +48.52818, +0.64091, -0.158, -0.521, +0.338, +0.159, +0.334, +0.178, +0.912
378, 0001614144, 0050000000, 31.0, +48.61361, +0.65631, -0.126, -0.555, +0.327, +0.171, +0.328, +0.180, +0.911
379, 0001622617, 0050000000, 30.8, +48.94377, +0.67760, -0.104, -0.590, +0.317, +0.182, +0.326, +0.179, +0.910
380, 0001630725, 0050000000, 30.7, +48.42682, +0.64973, -0.076, -0.567, +0.309, +0.169, +0.330, +0.174, +0.912
381, 0001638424, 0050000000, 30.5, +48.53325, +0.64207, -0.042, -0.571, +0.290, +0.161, +0.339, +0.167, +0.912
382, 0001645805, 0050000000, 30.4, +48.70882, +0.67521, -0.044, -0.609, +0.288, +0.165, +0.338, +0.169, +0.911
383, 0001652989, 0050000000, 30.2, +49.09295, +0.66253, -0.023, -0.600, +0.281, +0.152, +0.346, +0.173, +0.910
384, 0001660044, 0050000000, 30.1, +49.33112, +0.69323, -0.009, -0.632, +0.285, +0.154, +0.346, +0.175, +0.909
385, 0001666955, 0050000000, 30.0, +50.37114, +0.67636, +0.028, -0.619, +0.271, +0.139, +0.357, +0.185, +0.905
386, 0001673737, 0050000000, 29.9, +50.97910, +0.67432, +0.042, -0.618, +0.267, +0.141, +0.357, +0.194, +0.903
387, 0001680448, 0050000000, 29.8, +51.41964, +0.68138, +0.076, -0.620, +0.271, +0.152, +0.344, +0.216, +0.901
388, 0001686936, 0050000000, 29.6, +51.54567, +0.70662, +0.110, -0.648, +0.259, +0.159, +0.342, +0.216, +0.901
389, 0001693000, 0050000000, 29.5, +49.99167, +0.72701, +0.104, -0.658, +0.292, +0.157, +0.321, +0.226, +0.906
390, 0001699044, 0050000000, 29.4, +50.15618, +0.73173, +0.134, -0.660, +0.286, +0.160, +0.321, +0.226, +0.906
391, 0001705330, 0050000000, 29.3, +50.64452, +0.74735, +0.148, -0.668, +0.300, +0.166, +0.321, +0.229, +0.904
392, 0001711678, 0050000000, 29.2, +51.81007, +0.73809, +0.176, -0.658, +0.284, +0.165, +0.329, +0.235, +0.900
393, 0001718083, 0050000000, 29.1, +52.31578, +0.71649, +0.216, -0.629, +0.266, +0.155, +0.337, +0.238, +0.898
394, 0001724443, 0050000000, 29.0, +52.35640, +0.71521, +0.233, -0.623, +0.264, +0.154, +0.336, +0.241, +0.897
395, 0001730756, 0050000000, 28.9, +51.79651, +0.73312, +0.247, -0.635, +0.271, +0.153, +0.331, +0.240, +0.900
396, 0001736685, 0050000000, 28.8, +51.78155, +0.74189, +0.281, -0.637, +0.257, +0.148, +0.333, +0.240, +0.900
397, 0001742604, 0050000000, 28.7, +51.66383, +0.74026, +0.299, -0.627, +0.257, +0.142, +0.329, +0.248, +0.900
398, 0001748697, 0050000000, 28.6, +51.93439, +0.74176, +0.316, -0.621, +0.254, +0.150, +0.328, +0.248, +0.899
399, 0001754933, 0050000000, 28.5, +52.39442, +0.75437, +0.337, -0.630, +0.241, +0.153, +0.328, +0.253, +0.897
400, 0001760947, 0050000000, 28.4, +53.04475, +0.76224, +0.363, -0.626, +0.240, +0.148, +0.328, +0.264, +0.895
401, 0001767077, 0050000000, 28.3, +53.67277, +0.75273, +0.378, -0.606, +0.237, +0.150, +0.328, +0.271, +0.892
402, 0001773335, 0050000000, 28.2, +54.18803, +0.76045, +0.389, -0.609, +0.238, +0.156, +0.328, +0.275, +0.890
403, 0001779676, 0050000000, 28.1, +54.95950, +0.77474, +0.419, -0.614, +0.220, +0.156, +0.333, +0.278, +0.887
404, 0001785926, 0050000000, 28.0, +55.13357, +0.77367, +0.423, -0.606, +0.229, +0.152, +0.336, +0.280, +0.886
405, 0001792475, 0050000000, 27.9, +55.60191, +0.78650, +0.436, -0.613, +0.230, +0.152, +0.345, +0.275, +0.885
406, 0001799275, 0050000000, 27.8, +57.15750, +0.77910, +0.454, -0.592, +0.224, +0.148, +0.356, +0.283, +0.878
407, 0001806327, 0050000000, 27.7, +58.22958, +0.78463, +0.469, -0.591, +0.217, +0.150, +0.364, +0.286, +0.874
408, 0001813454, 0050000000, 27.6, +59.07669, +0.77807, +0.479, -0.577, +0.209, +0.149, +0.370, +0.290, +0.870
409, 0001820655, 0050000000, 27.5, +59.78388, +0.78071, +0.492, -0.572, +0.202, +0.150, +0.374, +0.293, +0.867
410, 0001828063, 0050000000, 27.4, +60.49271, +0.79420, +0.512, -0.577, +0.188, +0.155, +0.378, +0.294, +0.864
411, 0001835310, 0050000000, 27.2, +60.95169, +0.78827, +0.528, -0.556, +0.184, +0.152, +0.379, +0.301, +0.862
412, 0001842426, 0050000000, 27.1, +61.96910, +0.77972, +0.530, -0.541, +0.184, +0.153, +0.380, +0.312, +0.857
413, 0001849664, 0050000000, 27.0, +62.03197, +0.78206, +0.529, -0.541, +0.197, +0.152, +0.378, +0.315, +0.857
414, 0001857299, 0050000000, 26.9, +63.28890, +0.78818, +0.542, -0.534, +0.206, +0.153, +0.381, +0.327, +0.851
415, 0001864925, 0050000000, 26.8, +64.13429, +0.78985, +0.550, -0.531, +0.199, +0.154, +0.386, +0.330, +0.847
416, 0001872645, 0050000000, 26.7, +64.99547, +0.78856, +0.563, -0.518, +0.191, +0.155, +0.389, +0.337, +0.843
417, 0001880633, 0050000000, 26.6, +65.86455, +0.78383, +0.560, -0.514, +0.193, +0.158, +0.393, +0.341, +0.839
418, 0001888687, 0050000000, 26.5, +66.48330, +0.78700, +0.567, -0.510, +0.193, +0.157, +0.396, +0.346, +0.836
419, 0001897022, 0050000000, 26.4, +67.60637, +0.80304, +0.594, -0.511, +0.175, +0.156, +0.405, +0.348, +0.831
420, 0001905382, 0050000000, 26.2, +68.51100, +0.80050, +0.607, -0.493, +0.173, +0.148, +0.411, +0.355, +0.827
